gameid,away,home
20141028HOULAL,HOU,LAL
20141028ORLNOP,ORL,NOP
20141028DALSAS,DAL,SAS
20141029BRKBOS,BRK,BOS
20141029MILCHO,MIL,CHO
20141029DETDEN,DET,DEN
20141029PHIIND,PHI,IND
20141029MINMEM,MIN,MEM
20141029WASMIA,WAS,MIA
20141029CHINYK,CHI,NYK
20141029LALPHO,LAL,PHO
20141029OKCPOR,OKC,POR
20141029GSWSAC,GSW,SAC
20141029ATLTOR,ATL,TOR
20141029HOUUTA,HOU,UTA
20141030NYKCLE,NYK,CLE
20141030UTADAL,UTA,DAL
20141030OKCLAC,OKC,LAC
20141030DETMIN,DET,MIN
20141030WASORL,WAS,ORL
20141031CLECHI,CLE,CHI
20141031MEMIND,MEM,IND
20141031LACLAL,LAC,LAL
20141031PHIMIL,PHI,MIL
20141031SASPHO,SAS,PHO
20141031PORSAC,POR,SAC
20141101INDATL,IND,ATL
20141101MEMCHO,MEM,CHO
20141101BRKDET,BRK,DET
20141101LALGSW,LAL,GSW
20141101BOSHOU,BOS,HOU
20141101CHIMIN,CHI,MIN
20141101DALNOP,DAL,NOP
20141101DENOKC,DEN,OKC
20141101TORORL,TOR,ORL
20141101MIAPHI,MIA,PHI
20141101PHOUTA,PHO,UTA
20141101MILWAS,MIL,WAS
20141102SACLAC,SAC,LAC
20141102TORMIA,TOR,MIA
20141102CHONYK,CHO,NYK
20141102GSWPOR,GSW,POR
20141103OKCBRK,OKC,BRK
20141103BOSDAL,BOS,DAL
20141103SACDEN,SAC,DEN
20141103UTALAC,UTA,LAC
20141103NOPMEM,NOP,MEM
20141103HOUPHI,HOU,PHI
20141104ORLCHI,ORL,CHI
20141104MILIND,MIL,IND
20141104PHOLAL,PHO,LAL
20141104HOUMIA,HOU,MIA
20141104CHONOP,CHO,NOP
20141104WASNYK,WAS,NYK
20141104CLEPOR,CLE,POR
20141104OKCTOR,OKC,TOR
20141105TORBOS,TOR,BOS
20141105MINBRK,MIN,BRK
20141105MIACHO,MIA,CHO
20141105NYKDET,NYK,DET
20141105LACGSW,LAC,GSW
20141105CHIMIL,CHI,MIL
20141105ORLPHI,ORL,PHI
20141105MEMPHO,MEM,PHO
20141105DENSAC,DEN,SAC
20141105ATLSAS,ATL,SAS
20141105CLEUTA,CLE,UTA
20141105INDWAS,IND,WAS
20141106SASHOU,SAS,HOU
20141106DALPOR,DAL,POR
20141107INDBOS,IND,BOS
20141107NYKBRK,NYK,BRK
20141107ATLCHO,ATL,CHO
20141107CLEDEN,CLE,DEN
20141107MILDET,MIL,DET
20141107MEMOKC,MEM,OKC
20141107MINORL,MIN,ORL
20141107CHIPHI,CHI,PHI
20141107SACPHO,SAC,PHO
20141107WASTOR,WAS,TOR
20141107DALUTA,DAL,UTA
20141108NYKATL,NYK,ATL
20141108BOSCHI,BOS,CHI
20141108GSWHOU,GSW,HOU
20141108WASIND,WAS,IND
20141108PORLAC,POR,LAC
20141108MINMIA,MIN,MIA
20141108MEMMIL,MEM,MIL
