gameid,gameid_num,eventid,prd,msg_type,action_type,vtms,htms,tm,game_clock,player_code,play
20131129GSWOKC,0021300235,1,1,12,0,,0,0,12:00,player_code,Start of 1st Quarter
20131129GSWOKC,0021300235,1,1,10,0,,0,0,12:00,player_code,(12:00) Jump Ball Ibaka vs Bogut
20131129GSWOKC,0021300235,1,1,10,0,,0,0,12:00,player_code,(12:00) [GSW] Bogut Violation:Jump Ball
20131129GSWOKC,0021300235,1,1,5,0,OKC,0,0,11:47,player_code, Perkins Turnover : 3 Second Violation (1 TO) 
20131129GSWOKC,0021300235,2,1,2,0,GSW,0,0,11:37,player_code, Thompson 3pt Shot: Missed 
20131129GSWOKC,0021300235,3,1,4,0,OKC,0,0,11:36,player_code, Durant Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,4,1,6,0,GSW,0,0,11:25,player_code, Lee Foul: Shooting (1 PF) (2 FTA) 
20131129GSWOKC,0021300235,5,1,3,0,OKC,0,1,11:25,player_code, Perkins Free Throw 1 of 2 (1 PTS) 
20131129GSWOKC,0021300235,6,1,3,0,OKC,0,2,11:25,player_code, Perkins Free Throw 2 of 2 (2 PTS) 
20131129GSWOKC,0021300235,7,1,5,0,GSW,0,2,11:02,player_code, Bogut Turnover : Lost Ball (1 TO) Steal:Sefolosha (1 ST) 
20131129GSWOKC,0021300235,8,1,1,0,OKC,0,4,10:59,player_code, Durant Dunk Shot: Made (2 PTS) Assist: Westbrook (1 AST) 
20131129GSWOKC,0021300235,9,1,2,0,GSW,0,4,10:45,player_code, Thompson 3pt Shot: Missed 
20131129GSWOKC,0021300235,10,1,4,0,OKC,0,4,10:44,player_code, Perkins Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,11,1,5,0,OKC,0,4,10:33,player_code, Sefolosha Turnover : Bad Pass (1 TO) 
20131129GSWOKC,0021300235,12,1,2,0,GSW,0,4,10:17,player_code, Bogut Driving Layup Shot: Missed Block: Ibaka (1 BLK) 
20131129GSWOKC,0021300235,13,1,4,0,OKC,0,4,10:15,player_code, Durant Rebound (Off:0 Def:2) 
20131129GSWOKC,0021300235,14,1,1,0,OKC,0,6,10:07,player_code, Durant Step Back Jump shot: Made (4 PTS) 
20131129GSWOKC,0021300235,15,1,2,0,GSW,0,6,09:50,player_code, Barnes Driving Layup Shot: Missed 
20131129GSWOKC,0021300235,16,1,4,0,GSW,0,6,09:49,player_code, Team Rebound 
20131129GSWOKC,0021300235,17,1,1,0,GSW,2,6,09:35,player_code, Barnes Jump Shot: Made (2 PTS) 
20131129GSWOKC,0021300235,18,1,2,0,OKC,2,6,09:24,player_code, Perkins Jump Shot: Missed 
20131129GSWOKC,0021300235,19,1,4,0,GSW,2,6,09:23,player_code, Bogut Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,20,1,5,0,GSW,2,6,09:07,player_code, Bogut Turnover : Lost Ball (2 TO) Steal:Westbrook (1 ST) 
20131129GSWOKC,0021300235,21,1,1,0,OKC,2,8,09:05,player_code, Westbrook Dunk Shot: Made (2 PTS) 
20131129GSWOKC,0021300235,22,1,6,0,OKC,2,8,08:52,player_code, Durant Foul: Shooting (1 PF) (2 FTA) 
20131129GSWOKC,0021300235,23,1,3,0,GSW,3,8,08:52,player_code, Barnes Free Throw 1 of 2 (3 PTS) 
20131129GSWOKC,0021300235,24,1,3,0,GSW,4,8,08:52,player_code, Barnes Free Throw 2 of 2 (4 PTS) 
20131129GSWOKC,0021300235,25,1,5,0,OKC,4,8,08:41,player_code, Durant Turnover : Traveling (1 TO) 
20131129GSWOKC,0021300235,26,1,1,0,GSW,6,8,08:25,player_code, Curry Pullup Bank shot: Made (2 PTS) 
20131129GSWOKC,0021300235,27,1,2,0,OKC,6,8,08:13,player_code, Sefolosha Jump Shot: Missed 
20131129GSWOKC,0021300235,28,1,4,0,GSW,6,8,08:12,player_code, Bogut Rebound (Off:0 Def:2) 
20131129GSWOKC,0021300235,29,1,2,0,GSW,6,8,08:02,player_code, Lee Jump Shot: Missed 
20131129GSWOKC,0021300235,30,1,4,0,GSW,6,8,08:01,player_code, Thompson Rebound (Off:1 Def:0) 
20131129GSWOKC,0021300235,31,1,1,0,GSW,9,8,07:55,player_code, Curry 3pt Shot: Made (5 PTS) Assist: Thompson (1 AST) 
20131129GSWOKC,0021300235,32,1,1,0,OKC,9,10,07:41,player_code, Westbrook Pullup Jump shot: Made (4 PTS) 
20131129GSWOKC,0021300235,33,1,1,0,GSW,12,10,07:30,player_code, Curry 3pt Shot: Made (8 PTS) 
20131129GSWOKC,0021300235,34,1,1,0,OKC,12,12,07:13,player_code, Westbrook Pullup Jump shot: Made (6 PTS) 
20131129GSWOKC,0021300235,35,1,5,0,GSW,12,12,06:59,player_code, Bogut Turnover : Bad Pass (3 TO) 
20131129GSWOKC,0021300235,36,1,1,0,OKC,12,14,06:44,player_code, Westbrook Pullup Jump shot: Made (8 PTS) 
20131129GSWOKC,0021300235,37,1,2,0,GSW,12,14,06:31,player_code, Curry Floating Jump shot: Missed 
20131129GSWOKC,0021300235,38,1,4,0,OKC,12,14,06:30,player_code, Durant Rebound (Off:0 Def:3) 
20131129GSWOKC,0021300235,39,1,1,0,OKC,12,16,06:21,player_code, Westbrook Pullup Jump shot: Made (10 PTS) 
20131129GSWOKC,0021300235,40,1,1,0,GSW,14,16,06:00,player_code, Barnes Running Jump Shot: Made (6 PTS) 
20131129GSWOKC,0021300235,41,1,1,0,OKC,14,18,05:48,player_code, Perkins Dunk Shot: Made (4 PTS) Assist: Westbrook (2 AST) 
20131129GSWOKC,0021300235,42,1,1,0,GSW,16,18,05:28,player_code, Barnes Jump Shot: Made (8 PTS) 
20131129GSWOKC,0021300235,43,1,2,0,OKC,16,18,05:14,player_code, Westbrook Layup Shot: Missed 
20131129GSWOKC,0021300235,44,1,4,0,OKC,16,18,05:13,player_code, Ibaka Rebound (Off:1 Def:0) 
20131129GSWOKC,0021300235,45,1,2,0,OKC,16,18,05:07,player_code, Sefolosha Driving Layup Shot: Missed 
20131129GSWOKC,0021300235,46,1,4,0,GSW,16,18,05:06,player_code, Bogut Rebound (Off:0 Def:3) 
20131129GSWOKC,0021300235,47,1,2,0,GSW,16,18,04:55,player_code, Curry Driving Layup Shot: Missed Block: Perkins (1 BLK) 
20131129GSWOKC,0021300235,48,1,4,0,GSW,16,18,04:53,player_code, Bogut Rebound (Off:1 Def:3) 
20131129GSWOKC,0021300235,49,1,2,0,GSW,16,18,04:50,player_code, Thompson 3pt Shot: Missed 
20131129GSWOKC,0021300235,50,1,4,0,OKC,16,18,04:49,player_code, Sefolosha Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,51,1,2,0,OKC,16,18,04:37,player_code, Ibaka Jump Shot: Missed 
20131129GSWOKC,0021300235,52,1,4,0,GSW,16,18,04:36,player_code, Curry Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,53,1,2,0,GSW,16,18,04:28,player_code, Curry Step Back Jump shot: Missed 
20131129GSWOKC,0021300235,54,1,4,0,OKC,16,18,04:27,player_code, Perkins Rebound (Off:0 Def:2) 
20131129GSWOKC,0021300235,55,1,6,0,GSW,16,18,04:15,player_code, Thompson Foul: Shooting (1 PF) (2 FTA) 
20131129GSWOKC,0021300235,56,1,9,0,OKC,16,18,04:15,player_code, Team Timeout : Regular 
20131129GSWOKC,0021300235,57,1,8,0,OKC,16,18,04:15,player_code, Perkins Substitution replaced by Collison 
20131129GSWOKC,0021300235,58,1,3,0,OKC,16,19,04:15,player_code, Westbrook Free Throw 1 of 2 (11 PTS) 
20131129GSWOKC,0021300235,59,1,3,0,OKC,16,19,04:15,player_code, Westbrook Free Throw 2 of 2 Missed 
20131129GSWOKC,0021300235,60,1,4,0,GSW,16,19,04:15,player_code, Lee Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,61,1,6,0,OKC,16,19,04:03,player_code, Ibaka Foul: Shooting Block (1 PF) (2 FTA) 
20131129GSWOKC,0021300235,62,1,3,0,GSW,17,19,04:03,player_code, Lee Free Throw 1 of 2 (1 PTS) 
20131129GSWOKC,0021300235,63,1,3,0,GSW,18,19,04:03,player_code, Lee Free Throw 2 of 2 (2 PTS) 
20131129GSWOKC,0021300235,64,1,6,0,GSW,18,19,03:51,player_code, Curry Foul: Shooting (1 PF) (2 FTA) 
20131129GSWOKC,0021300235,65,1,3,0,OKC,18,20,03:51,player_code, Sefolosha Free Throw 1 of 2 (1 PTS) 
20131129GSWOKC,0021300235,66,1,8,0,GSW,18,20,03:51,player_code, Lee Substitution replaced by O'Neal 
20131129GSWOKC,0021300235,67,1,3,0,OKC,18,21,03:51,player_code, Sefolosha Free Throw 2 of 2 (2 PTS) 
20131129GSWOKC,0021300235,68,1,6,0,GSW,18,21,03:37,player_code, O'Neal Foul: Offensive (1 PF) 
20131129GSWOKC,0021300235,69,1,6,0,GSW,18,21,03:37,player_code, O'Neal Turnover : Foul (1 TO) 
20131129GSWOKC,0021300235,70,1,1,0,OKC,18,23,03:22,player_code, Sefolosha Turnaround Jump Shot: Made (4 PTS) 
20131129GSWOKC,0021300235,71,1,1,0,GSW,20,23,03:00,player_code, Bogut Alley Oop Dunk Shot: Made (2 PTS) Assist: Barnes (1 AST) 
20131129GSWOKC,0021300235,72,1,5,0,OKC,20,23,02:41,player_code, Collison Turnover : Out of Bounds Lost Ball Turnover (1 TO) 
20131129GSWOKC,0021300235,73,1,9,0,GSW,20,23,02:41,player_code, Team Timeout : Regular 
20131129GSWOKC,0021300235,74,1,8,0,OKC,20,23,02:41,player_code, Westbrook Substitution replaced by Jackson 
20131129GSWOKC,0021300235,75,1,8,0,GSW,20,23,02:41,player_code, Thompson Substitution replaced by Green 
20131129GSWOKC,0021300235,76,1,1,0,GSW,23,23,02:28,player_code, Green 3pt Shot: Made (3 PTS) Assist: Barnes (2 AST) 
20131129GSWOKC,0021300235,77,1,1,0,OKC,23,26,02:07,player_code, Sefolosha 3pt Shot: Made (7 PTS) Assist: Durant (1 AST) 
20131129GSWOKC,0021300235,78,1,2,0,GSW,23,26,01:52,player_code, O'Neal Turnaround Bank shot: Missed 
20131129GSWOKC,0021300235,79,1,4,0,OKC,23,26,01:51,player_code, Ibaka Rebound (Off:1 Def:1) 
20131129GSWOKC,0021300235,80,1,1,0,OKC,23,28,01:41,player_code, Durant Pullup Jump shot: Made (6 PTS) 
20131129GSWOKC,0021300235,81,1,6,0,OKC,23,28,01:23,player_code, Collison Foul: Personal (1 PF) 
20131129GSWOKC,0021300235,82,1,8,0,GSW,23,28,01:23,player_code, Curry Substitution replaced by Nedovic 
20131129GSWOKC,0021300235,83,1,8,0,OKC,23,28,01:23,player_code, Sefolosha Substitution replaced by Lamb 
20131129GSWOKC,0021300235,84,1,8,0,GSW,23,28,01:23,player_code, Bogut Substitution replaced by Speights 
20131129GSWOKC,0021300235,85,1,2,0,GSW,23,28,01:11,player_code, Green 3pt Shot: Missed 
20131129GSWOKC,0021300235,86,1,4,0,OKC,23,28,01:10,player_code, Durant Rebound (Off:0 Def:4) 
20131129GSWOKC,0021300235,87,1,6,0,GSW,23,28,01:00,player_code, O'Neal Foul: Shooting (2 PF) (2 FTA) 
20131129GSWOKC,0021300235,88,1,3,0,OKC,23,29,01:00,player_code, Durant Free Throw 1 of 2 (7 PTS) 
20131129GSWOKC,0021300235,89,1,8,0,OKC,23,29,01:00,player_code, Ibaka Substitution replaced by Adams 
20131129GSWOKC,0021300235,90,1,3,0,OKC,23,30,01:00,player_code, Durant Free Throw 2 of 2 (8 PTS) 
20131129GSWOKC,0021300235,91,1,2,0,GSW,23,30,00:38.9,player_code, Barnes Running Jump Shot: Missed 
20131129GSWOKC,0021300235,92,1,4,0,GSW,23,30,00:38.0,player_code, Green Rebound (Off:1 Def:0) 
20131129GSWOKC,0021300235,93,1,1,0,GSW,25,30,00:38.0,player_code, Green Tip Shot: Made (5 PTS) 
20131129GSWOKC,0021300235,94,1,1,0,OKC,25,32,00:30.8,player_code, Jackson Pullup Jump shot: Made (2 PTS) 
20131129GSWOKC,0021300235,95,1,1,0,GSW,28,32,00:13.1,player_code, Barnes 3pt Shot: Made (11 PTS) Assist: Nedovic (1 AST) 
20131129GSWOKC,0021300235,96,1,2,0,OKC,28,32,00:00.0,player_code, Durant Pullup Jump shot: Missed 
20131129GSWOKC,0021300235,97,1,4,0,GSW,28,32,00:00.0,player_code, Team Rebound 
20131129GSWOKC,0021300235,98,1,13,0,,28,32,00:00.0,player_code,End of  1st Quarter
20131129GSWOKC,0021300235,98,2,12,0,,28,32,12:00,player_code,Start of 2nd Quarter
20131129GSWOKC,0021300235,98,2,5,0,GSW,28,32,11:50,player_code, Green Turnover : Bad Pass (1 TO) 
20131129GSWOKC,0021300235,99,2,2,0,OKC,28,32,11:38,player_code, Jackson Running Jump Shot: Missed 
20131129GSWOKC,0021300235,100,2,4,0,GSW,28,32,11:37,player_code, Nedovic Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,101,2,2,0,GSW,28,32,11:30,player_code, Green 3pt Shot: Missed 
20131129GSWOKC,0021300235,102,2,4,0,OKC,28,32,11:29,player_code, Jackson Rebound (Off:0 Def:1) 
20131129GSWOKC,0021300235,103,2,2,0,OKC,28,32,11:22,player_code, Jackson Driving Reverse Layup Shot: Missed 
20131129GSWOKC,0021300235,104,2,4,0,OKC,28,32,11:21,player_code, Adams Rebound (Off:1 Def:0) 
20131129GSWOKC,0021300235,105,2,2,0,OKC,28,32,11:16,player_code, Jackson 3pt Shot: Missed 
20131129GSWOKC,0021300235,106,2,4,0,GSW,28,32,11:15,player_code, Green Rebound (Off:1 Def:1) 
20131129GSWOKC,0021300235,107,2,1,0,GSW,30,32,10:58,player_code, Speights Jump Shot: Made (2 PTS) Assist: Thompson (2 AST) 
20131129GSWOKC,0021300235,108,2,6,0,GSW,30,32,10:48,player_code, Nedovic Foul: Personal (1 PF) 
20131129GSWOKC,0021300235,109,2,2,0,OKC,30,32,10:34,player_code, Adams Layup Shot: Missed 
20131129GSWOKC,0021300235,110,2,4,0,OKC,30,32,10:33,player_code, Team Rebound 
20131129GSWOKC,0021300235,111,2,8,0,GSW,30,32,10:33,player_code, Green Substitution replaced by Curry 
20131129GSWOKC,0021300235,112,2,1,0,OKC,30,35,10:29,player_code, Lamb 3pt Shot: Made (3 PTS) Assist: Adams (1 AST) 
20131129GSWOKC,0021300235,113,2,6,0,OKC,30,35,10:16,player_code, Adams Foul: Defense 3 Second (0 PF) 
20131129GSWOKC,0021300235,114,2,3,0,GSW,31,35,10:16,player_code, Curry Free Throw Technical (9 PTS) 
20131129GSWOKC,0021300235,115,2,2,0,GSW,31,35,10:12,player_code, Speights Layup Shot: Missed 
20131129GSWOKC,0021300235,116,2,4,0,GSW,31,35,10:11,player_code, O'Neal Rebound (Off:1 Def:0) 
20131129GSWOKC,0021300235,117,2,6,0,OKC,31,35,10:11,player_code, Jackson Foul: Shooting (1 PF) (2 FTA) 
20131129GSWOKC,0021300235,118,2,3,0,GSW,31,35,10:11,player_code, O'Neal Free Throw 1 of 2 Missed 
20131129GSWOKC,0021300235,119,2,4,0,GSW,31,35,10:11,player_code, Team Rebound 
20131129GSWOKC,0021300235,120,2,3,0,GSW,32,35,10:11,player_code, O'Neal Free Throw 2 of 2 (1 PTS) 
20131129GSWOKC,0021300235,121,2,1,0,OKC,32,37,10:03,player_code, Jackson Pullup Jump shot: Made (4 PTS) 
20131129GSWOKC,0021300235,122,2,6,0,OKC,32,37,09:54,player_code, Adams Foul: Personal (1 PF) 
20131129GSWOKC,0021300235,123,2,0,0,GSW,32,37,09:54,player_code, O'Neal Technical 
20131129GSWOKC,0021300235,124,2,3,0,OKC,32,38,09:54,player_code, Jackson Free Throw Technical (5 PTS) 
20131129GSWOKC,0021300235,125,2,1,0,GSW,35,38,09:44,player_code, Curry 3pt Shot: Made (12 PTS) Assist: Nedovic (2 AST) 
20131129GSWOKC,0021300235,126,2,2,0,OKC,35,38,09:30,player_code, Lamb Floating Jump shot: Missed 
20131129GSWOKC,0021300235,127,2,4,0,GSW,35,38,09:29,player_code, Nedovic Rebound (Off:0 Def:2) 
20131129GSWOKC,0021300235,128,2,2,0,GSW,35,38,09:16,player_code, Curry 3pt Shot: Missed 
20131129GSWOKC,0021300235,129,2,4,0,OKC,35,38,09:16,player_code, Collison Rebound (Off:0 Def:1) 
