Season,Team,TeamCode,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Playoffs
2013,Philadelphia 76ers,PHI,82,19855,3284,6975,.471,739,1998,.370,2545,4977,.511,1705,2261,.754,976,2871,3847,2144,736,558,1391,1686,9012,109.9,0
2013,League Average,AVG,82,19840,3093,6806,.454,635,1766,.360,2458,5040,.488,1462,1934,.756,895,2611,3505,1804,630,386,1201,1697,8283,101.0,0
2014,Utah Jazz,UTA,82,19705,2935,6587,.446,604,1670,.362,2331,4917,.474,1309,1760,.744,811,2406,3217,1594,674,381,1076,1604,7783,94.9,0
2014,Memphis Grizzlies,MEM,82,19905,2954,6684,.442,663,1889,.351,2291,4795,.478,1225,1651,.742,864,2616,3480,1652,604,424,1257,1662,7796,95.1,1
2014,San Antonio Spurs,SAS,82,19955,3044,6861,.444,558,1550,.360,2486,5311,.468,1307,1754,.745,813,2643,3456,1699,648,362,1167,1613,7953,97.0,1
2014,Indiana Pacers,IND,82,19855,2949,6784,.435,591,1713,.345,2358,5071,.465,1469,1951,.753,800,2704,3504,1633,617,386,1045,1754,7958,97.0,0
2014,Atlanta Hawks,ATL,82,19730,2991,6815,.439,720,2112,.341,2271,4703,.483,1262,1651,.764,948,2631,3579,1931,605,404,1317,1611,7964,97.1,1
2014,Miami Heat,MIA,82,19730,2960,6523,.454,666,1887,.353,2294,4636,.495,1391,1905,.730,894,2467,3361,1748,646,359,1215,1715,7977,97.3,0
2014,Charlotte Hornets,CHA,82,19905,3020,6863,.440,649,1816,.357,2371,5047,.470,1292,1673,.772,729,2890,3619,1815,502,440,1033,1708,7981,97.3,0
2014,Milwaukee Bucks,MIL,82,19930,2917,6681,.437,676,1974,.342,2241,4707,.476,1478,1993,.742,938,2576,3514,1831,708,392,1425,1649,7988,97.4,1
2014,Washington Wizards,WAS,82,19955,2965,6844,.433,657,1885,.349,2308,4959,.465,1434,1942,.738,821,2599,3420,1634,655,350,1145,1610,8021,97.8,1
2014,Chicago Bulls,CHI,82,19880,3095,7109,.435,538,1605,.335,2557,5504,.465,1291,1723,.749,963,2598,3561,1657,614,443,1000,1736,8019,97.8,1
2014,Portland Trail Blazers,POR,82,19855,3130,7123,.439,524,1552,.338,2606,5571,.468,1298,1713,.758,902,2754,3656,1669,655,297,999,1534,8082,98.6,1
2014,New Orleans Pelicans,NOP,82,19780,3108,6814,.456,537,1605,.335,2571,5209,.494,1329,1751,.759,870,2537,3407,1700,555,475,1003,1533,8082,98.6,1
2014,Cleveland Cavaliers,CLE,82,19780,3121,6850,.456,634,1848,.343,2487,5002,.497,1214,1629,.745,885,2487,3372,1974,642,368,1092,1685,8090,98.7,1
2014,Detroit Pistons,DET,82,19830,3106,6817,.456,635,1789,.355,2471,5028,.491,1312,1699,.772,877,2740,3617,1949,572,391,1145,1584,8159,99.5,0
2014,Golden State Warriors,GSW,82,19730,3031,7084,.428,592,1757,.337,2439,5327,.458,1534,2011,.763,963,2690,3653,1718,680,293,1329,1541,8188,99.9,1
2014,Los Angeles Clippers,LAC,82,19730,2984,6745,.442,683,1959,.349,2301,4786,.481,1560,2105,.741,868,2649,3517,1904,548,245,1171,1766,8211,100.1,1
2014,Houston Rockets,HOU,82,19805,3092,6983,.443,605,1881,.322,2487,5102,.487,1451,1932,.751,973,2621,3594,1752,726,437,1342,1730,8240,100.5,1
2014,Brooklyn Nets,BKN,82,19930,3150,6913,.456,696,1944,.358,2454,4969,.494,1278,1748,.731,937,2699,3636,1944,643,372,1137,1641,8274,100.9,1
2014,Toronto Raptors,TOR,82,19855,3116,6787,.459,633,1828,.346,2483,4959,.501,1410,1923,.733,922,2559,3481,1870,567,413,1182,1668,8275,100.9,1
2014,Philadelphia 76ers,PHI,82,19805,3045,6785,.449,658,1879,.350,2387,4906,.487,1530,2023,.756,940,2853,3793,1942,779,454,1374,1657,8278,101.0,0
2014,New York Knicks,NYK,82,19855,3031,6592,.460,694,1825,.380,2337,4767,.490,1543,2032,.759,898,2669,3567,1783,659,353,1153,1564,8299,101.2,0
2014,Boston Celtics,BOS,82,19880,3125,6943,.450,607,1804,.336,2518,5139,.490,1442,1909,.755,893,2772,3665,1798,583,431,1239,1545,8299,101.2,1
2014,Orlando Magic,ORL,82,19755,3112,6720,.463,682,1853,.368,2430,4867,.499,1410,1878,.751,825,2739,3564,1921,635,441,1185,1467,8316,101.4,0
2014,Oklahoma City Thunder,OKC,82,19830,3085,7008,.440,681,1984,.343,2404,5024,.479,1494,2005,.745,917,2587,3504,1815,642,376,1118,1675,8345,101.8,0
2014,Dallas Mavericks,DAL,82,19880,3117,6930,.450,741,2034,.364,2376,4896,.485,1415,1879,.753,1006,2778,3784,1830,602,314,1339,1816,8390,102.3,1
2014,Phoenix Suns,PHX,82,19880,3149,6972,.452,633,1798,.352,2516,5174,.486,1540,2030,.759,951,2766,3717,1734,651,337,1276,1664,8471,103.3,0
2014,Denver Nuggets,DEN,82,19880,3164,6909,.458,631,1823,.346,2533,5086,.498,1652,2208,.748,899,2798,3697,1894,611,504,1177,1698,8611,105.0,0
2014,Sacramento Kings,SAC,82,19855,3238,7094,.456,718,2055,.349,2520,5039,.500,1420,1898,.748,898,2479,3377,1912,712,508,1059,1958,8614,105.0,0
2014,Los Angeles Lakers,LAL,82,19930,3180,6817,.466,697,1921,.363,2483,4896,.507,1577,2118,.745,824,2797,3621,1966,611,396,1068,1589,8634,105.3,0
2014,Minnesota Timberwolves,MIN,82,19805,3373,6933,.487,697,1897,.367,2676,5036,.531,1294,1704,.759,953,2619,3572,1933,686,449,1243,1751,8737,106.5,0
2014,League Average,AVG,82,19840,3076,6852,.449,643,1838,.350,2433,5014,.485,1405,1873,.750,893,2657,3550,1807,634,393,1177,1658,8201,100.0,0
